date,seller_id,category,transaction_value,take_rate,fees_collected
2024-01-01,SELLER001,Electronics,1000.00,5.0,50.00
2024-01-01,SELLER002,Clothing,500.00,7.0,35.00
2024-01-02,SELLER001,Electronics,1500.00,5.0,75.00
2024-01-02,SELLER003,Home & Garden,800.00,6.0,48.00
2024-01-03,SELLER002,Clothing,300.00,7.0,21.00
2024-01-03,SELLER001,Electronics,2000.00,5.0,100.00
2024-01-04,SELLER004,Books,200.00,8.0,16.00
2024-01-04,SELLER002,Clothing,600.00,7.0,42.00
2024-01-05,SELLER001,Electronics,1200.00,5.0,60.00
2024-01-05,SELLER003,Home & Garden,900.00,6.0,54.00
